邊 (個),bin˥˧ go˧,,人哋,誰,sheoi˨˩,dzywijP,,,(阿) 誰,aa˧ sheoi˨˩,a˧ sui˨˩˦,,,誰,sheoi˨˩,shei˧˥,,
乜 (嘢);咩,mat˥ je˩˧;me˥˧,,,何;曷,ho˨˩;hot˧,haP;hatY,,呢啲係疑問詞；睇<a href="#mat-noun">'乜'名詞</a>,乜 (嘢),mat˥ je˧˥,mot˥ yie˧,,,甚 麼 (東 西),sham˨ mo˥˧ dung˥˧ sai˥˧,shen˧˥ me˥˨ dong˥ xi˥,,
邊 (度),bin˥˧ dou˨,,地方,惡;烏;安;焉;奚;胡,wu˧;wu˥˧;on˥˧;jin˥˧;hai˨˩;wu˨˩,'uP;'uP;'anP;'jenP;hejP;huP,,,哪;乃,naa˩˧;naai˩˧,nai˨˩˦;nai˨˩˦,,,哪 裡,naa˩˧ leoi˩˧,na˧˥ li˨˩,,
幾 時;幾 點,gei˧˥ shi˨˩;gei˧˥ dim˧˥,,,曷,hot˧,hatY,,,幾 時,gei˧˥ shi˨˩,gei˥ si˨˩˦,,,甚 麼 時 候;何 時;幾 點,sham˨ mo˥˧ shi˨˩ hau˨;ho˨˩ shi˨˩;gei˧˥ dim˧˥,shen˧˥ me˥˨ shi˧˥ hou˥˨;he˧˥ shi˧˥;ji˧˥ dian˨˩,,
點 解,dim˧˥ gaai˧˥,,,何;奚;胡,ho˨˩;hai˨˩;wu˨˩,haP;hejP;huP,,,幾 解;乜 頭 路,gei˧˥ gaai˧˥;mat˥ tau˨˩ lou˨,gi˥ gai˥;mot˥ hau˨ lu˧˨,,,為 甚 麼,wai˨ sham˨ mo˥˧,wei˥˩ shen˧˥ me˥˨,,
點 (樣),dim˧˥ joeng˧˥,,,安;焉;奚;胡;何,on˥˧;jin˥˧;hai˨˩;wu˨˩;ho˨˩,'anP;'jenP;hejP;huP;haP,,,幾 何,gei˧˥ ho˨˩,gei˥ ho˨˩˦,,,怎 麼 (樣),zam˧˥ mo˥˧ joeng˨,zen˨˩ me˨˧ yang˥˩,,
邊 (個),bin˥˧ go˧,,唔係人哋,孰,shuk˨,dzyuwkY,,,哪,naa˩˧,nai˨˩˦,,,哪,naa˨˩,na˨˩˦,,
返;番,faan˥˧;faan˥˧,,,歸;返,gwai˥˧;faan˥˧,kwj+jP;pyonS,,,返,faan˥˧,fan˧,,,回,wui˨˩,hui˧˥,,
就 快,tsau˨ faai˧,,,早,tsou˧˥,tsawS,,,貪 晌,taam˥˧ hoeng˧˥,ham˧ hiang˥,,,快,faai˧,kuai˥˩,,
凈 係,tsing˨ hai˨,,,惟;但,wai˨˩;dan˨,ywijP;danH,,,凈 係,tsing˨ hai˨,den˧˨ hai˧˨,,,只 是,zi˧˥ shi˨,zhi˨˩˦ shi˥˩,,
如 果;嘅 話,jyu˨˩ gwo˧˥;ge˧ waa˧˥,,,如;則;設,jyu˨˩;tsak˥;chit˧,nyoP;tsokY;syetY,,,如 果,jyu˨˩ gwo˧˥,ngui˨ go˥,,,如 果,jyu˨˩ gwo˧˥,ru˧˥ guo˨˩˦,,
因 為,jan˥˧ wai˨˩,,,因;以,jan˥˧;ji˩˧,'jinP;yiS,,,因 為,jan˥˧ wai˨˩,yin˧ vi˧˨,,,因 為,jan˥˧ wai˨˩,yin˥ wei˦˩,,
不 過;但 係,bat˥ gwo˧;dan˨ hai˨,,,然;乃;則;而;但,jin˨˩;naai˩˧;tsak˥;ji˨˩;daan˨,nyenP;nojS;tsokY;nyiP;danH,,,但 係,dan˨ hai˨,an˧˨ hai˧˨,,,但 是,dan˨ shi˨,dan˥˩ shi˥˩,,
所 以,sho˧˥ ji˩˧,,,斯;故;爰;則;而,si˥˧;gu˧;wun˨˩;tsak˥;ji˨˩,sjeP;kuH;hjwonP;tsokY;nyiP,,,所 以,sho˧˥ ji˩˧,so˥ yi˨˩,,,所 以,sho˧˥ ji˩˧,suo˧˥ yi˨˩,,
可 以,ho˧˥ ji˩˧,,,能,nang˨˩,nongP,,,可 以,ho˧˥ ji˩˧,ho˥ yi˨˩,,,可 以;能,ho˧˥ ji˩˧;nang˨˩,ke˧˥ yi˨˩;neng˧˥,,'能'通常唔會自己用，通常係'不能'
已 經,ji˩˧ ging˥˧,,,已,ji˩˧,yiS,,,經 已,ging˥˧ ji˩˧,gen˧ yi˨˩,,,已 經,ji˩˧ ging˥˧,yi˨˩˦ jing˥,,
想 (要),soeng˧˥ jiu˧,,,欲,juk˨,yowkY,,,想 攞,soeng˧˥ lo˧˥,lhiang˥ ho˥,,,想 要,soeng˧˥ jiu˧,xiang˨˩˦ yao˥˩,,
使;要,sai˧˥;jiu˧,,,需,seoi˥˧,sjuP,,,使;添,sai˧˥;tim˥˧,soi˥;hiam˥,,,需 要,seoi˥˧ jiu˧,xu˥ yao˥˩,,
(然) 之 後;噉 之 後,jin˨˩ zi˥˧ hau˨;gom˧˥ zi˥˧ hau˨,,,然 後,jin˨˩ hau˨,nyenP huwH,,,然 之 後,jin˨˩ zi˥˧ hau˨,ngen˨ dzi˧ heu˧˨˥,,,然 後,jin˨˩ hau˨,ran˧˥ hou˥˩,,
同,tung˨˩,,,與;而;以,jyu˩˧;ji˨˩;ji˩˧,yoS;nyiP;yiS,,,同;登,tung˨˩;dang˥˧,ang˧;ang˧˨,,,和,wo˨˩,he˧˥,,
都;嘟,dou˥˧;du˥˧,,,亦,jik˨,yekY,,,亦;都,jik˨;dou˥˧,yiak˧˨;du˥,,,也;都,jaa˩˧;dou˥˧,ye˨˩˦;dou˥,,
一 定;實;梗,jat˥ ding˨;sat˨;gang˧˥,,,必,bit˥,pjitY,,,一 定;實;梗,jat˥ ding˨;sat˨;gang˧˥,yit˥ en˧˨;sit˧˨;gang˥,,,一 定,jat˥ ding˨,yi˥ ding˥˩,,
多 數;通 常,do˥˧ shou˧;tung˥˧ shoeng˨˩,,,常,shoeng˨˩,dzyangP,,,常 時,shoeng˨˩ shi˨˩,siang˨ si˨˨˥,,,經 常,ging˥˧ shoeng˨˩,jing˥ chang˧˥,,
猛;次 次;時 時,maang˩˧;ci˧ ci˧;shi˨˩ shi˨˩,,,時,shi˨˩,dzyiP,,,猛 勢,maang˩˧ shai˧,mang˧ sai˧˧˥,,,每 次,mui˩˧ ci˧,mei˨˩˦ ci˥˩,,
即 刻,tsik˥ haak˥,,,立;即;就,laap˨;tsik˥;tsau˨,lipY;tsikY;dzyuwH,,,即 刻;噻 聲;當 下,tsik˥ haak˥;sak˥ sheng˥˧;dong˧ haa˨,det˥ hak˥;lhak˨˩ siang˧;ong˧ hai˨˩,,,馬 上;立 刻;立 即,maa˩˧ shoeng˨;laap˨ haak˥;laap˨ tsik˥,ma˨˩˦ shang˥˩;li˥˩ ke˥˩;li˥˩ ji˧˥,,
會,wui˧˥,,,將,tsoeng˥˧,tsjangP,,,會,wui˧˥,voi˨˩,,,會,wui˧˥,hui˥˩,,
識,shik˥,,,識,shik˥,syikY,,,曉 (領);識 會,hiu˧˥ leng˩˧;shik˥ wui˧˥,hiau˥ liang˨˩;set˥ voi˨˩,,,會;懂 (得),wui˧˥;dung˧˥ dak˥,hui˥˩;dong˨˩ de˨˧,,
知 (道),zi˥˧ dou˨,,,知,zi˥˧,trjeP,,,識 (領);知 𡃴,shik˥ leng˩˧;zi˥˧ ceoi˨˩,set˥ liang˨˩;ei˧ tui˨,,,知 道,zi˥˧ dou˨,zhi˥ dao˦˩,,
覺 得;諗 (住),gok˧ dak˥;nam˧˥ zyu˨,,,想,soeng˧˥,sjangS,,,感 覺,gam˧˥ gok˧,gam˥ gok˥,,,覺 得,gok˧ dak˥,jue˧˥ de˥˨,,
估,gu˧˥,,,度,dok˨,dakY,,,(猜) 估,chaai˥˧ gu˧˥,tsai˧ gu˥,,,猜,chaai˥˧,cai˥,,
叻,lek˥,,,明;亮,ming˨˩;loeng˨,mjaengP;ljangH,,,叻,lek˥,liak˥,,,聰 明,cung˥˧ ming˨˩,cong˥ ming˦˩,,
話,waa˨,,,曰;言,jyut˨;jin˨˩,hjwotY;ngjonP,,,話,waa˨,va˧˨,,,說,shyut˧,shuo˥,,
寫,se˧˥,,,書,shyu˥˧,syoP,,,寫,se˧˥,lhia˥,,,寫,se˧˥,xie˨˩˦,,
睇,tai˧˥,,,視,shi˨,dzyijH,,,睇,tai˧˥,hai˥,,,看,hon˧,kan˥˩,,
瞓 (覺),fan˧ gaau˧,,,寢,cam˧˥,tshimS,,,瞓 (覺),fan˧ gaau˧,fun˧ gau˧,,,睡 覺,sheoi˨ gaau˧,shui˥˩ jiao˥˩,,
攰,gui˨,,,憊,bei˨,beajH,,,疚;疲;夠;傫,gau˧;pei˨˩;gau˧;leoi˨˩,geou˧;pie˨˩;geou˧;nai˧,,,累,leoi˨,lei˥˩,,
