詩,ɕi:˥,si1,sī,shi,shi˥,poem
屍,ɕi:˥˧,si1,sì,shi,shi˥˧,corpse
屎,ɕi:˧˥,si2,sí,shí,shi˧˥,excrement
試,ɕi:˧,si3,si,shì,shi˧,to try
時,ɕi:˨˩,si4,sìh,shī,shi˨˩,time/relating to time
巿,ɕi:˩˧,si5,síh,shĭ,shi˩˧,city/market
示,ɕi:˨,si6,sih,shî,shi˨,to show/to inform
